Numero_Dossier,Date_Lecture,Date_Audience,Avocat_Requerant,Type_Decision,Type_Recours,Formation_Jugement
405548,24/11/2021,08/10/2021,SCP BENABENT,Décision,Contentieux des pensions, 4ème chambre jugeant seule
420608,18/11/2021,25/10/2021,CABINET COLIN - STOCLET,Décision,Excès de pouvoir,10ème chambre jugeant seule
422295,19/11/2021,21/10/2021,"SCP BARADUC, DUHAMEL, RAMEIX",Décision,Plein contentieux,10ème chambre jugeant seule
430655,15/11/2021,28/10/2021,DOCHLER GATE EMMA,Décision,Plein contentieux, 9ème chambre jugeant seule
430958,22/11/2021,22/10/2021,SCP RICHARD,Décision,Plein contentieux,4ème et 1ère chambres réunies
431275,22/11/2021,22/10/2021,SCP GOUZ-FITOUSSI,Décision,Excès de pouvoir,4ème et 1ère chambres réunies
431323,15/11/2021,28/10/2021,SCP BOUTET-HOURDEAUX,Décision,Plein contentieux, 9ème chambre jugeant seule
431431,22/11/2021,22/10/2021,"THOUVENIN, COUDRAY, GREVY",Décision,Excès de pouvoir,4ème et 1ère chambres réunies
431576,05/11/2021,18/10/2021,,Décision,Plein contentieux,9ème et 10ème chambres réunies
431579,05/11/2021,18/10/2021,,Décision,Plein contentieux,9ème et 10ème chambres réunies
431724,22/11/2021,22/10/2021,"SCP PIWNICA, MOLINIE",Décision,Excès de pouvoir,4ème et 1ère chambres réunies
431747,05/11/2021,18/10/2021,CABINET BRIARD,Décision,,9ème et 10ème chambres réunies
431927,22/11/2021,22/10/2021,"SCP CELICE, TEXIDOR, PERIER",Décision,Excès de pouvoir,4ème et 1ère chambres réunies
431980,18/11/2021,25/10/2021,FITZJEAN O COBHTHAIGH,Décision,Excès de pouvoir,10ème chambre jugeant seule
432331,24/11/2021,08/10/2021,"SCP LYON-CAEN, THIRIEZ",Décision,Excès de pouvoir, 4ème chambre jugeant seule
432576,23/11/2021,15/10/2021,PONELLE,Décision,Excès de pouvoir, 4ème chambre jugeant seule
432819,15/11/2021,08/10/2021,"SCP PIWNICA, MOLINIE",Décision,Excès de pouvoir,6ème et 5ème chambres réunies
433075,24/11/2021,08/10/2021,"THOUVENIN, COUDRAY, GREVY",Décision,Excès de pouvoir, 4ème chambre jugeant seule
