CaseID,Date,Arbitrator_1,Arbitrator_2,Arbitrator_3,Arbitrator_4,Status,OldID,Case_Number,Region_(Speculative),Modif_And_Date,Sector,ClaimantCouns,RespondentCouns,Replaced
0,Feb-19,LEBOULANGER PHILIPPE | France | Court | Active,HOFFMAN LEONARD | United Kingdom (UK) | Claimant(s) | Active,WOLFGANG PETER | Switzerland | Respondent(s) | Active,,Pending,Old1046,22896/DDA,Africa,,,,,
0,Oct-16,STOFFEL-MUNCK PHILIPPE | France | Claimant(s) | Active,ELIASSON NILS | Sweden | Court | Active,KIM KEVIN (KAP-YOU) | South Korea | Respondent(s) | Active,PETER WOLFGANG | Switzerland | Co-arbitrators | Active,Closed,Old37,21612 CYK/PTA,Asia,"Closed, March 2020",,,,NAJAR JEAN-CLAUDE | France | Claimant(s) | Replaced
0,Oct-16,JARVIN SIGVARD HAKAN LUDVIG | Sweden | Co-arbitrators | Active,EL KHOURY ATEF | France; Lebanon | Claimant(s) | Active,COHEN DANIEL | France | Respondent(s) | Active,,Closed,Old46,21688/DDA,Africa,,,,,
0,Nov-18,ESIN ISMAIL GÖKHAN | Turkey | Respondent(s) | Active,DE BOISSÉSON MATTHIEU | France | Claimant(s) | Active,EHLE BERND DIETRICH | Switzerland; Germany | Co-arbitrators | Active,,Closed,Old866,22825/AYZ,MENA,"Closed, March 2020",,,,
0,Apr-18,AUDIT MATHIAS | France | Court | Active,AKIKOL DIANA | Switzerland; Turkey | Claimant(s) | Active,NESBITT SIMON | United Kingdom (UK) | Respondent(s) | Active,,Closed,Old684,22930/GR,French?,"Closed, March 2020",,,,
0,Oct-19,ESTÉVEZ MARLEN | Spain | Court | Active,,,,Closed,Old1271,24249/JPA,Spanish,"Closed, March 2020",,,,
0,Oct-16,MOLOO RAHIM | Canada | Court | Active,,,,Closed,Old45,21848/RD,US,"Closed, March 2020",,,,
0,Dec-17,VALENÇA FILHO CLÁVIO | Brazil | Court | Active,FERIS JOSÉ RICARDO | Dominican Republic; Spain; Guatemala | Co-arbitrators | Active,DE BOISSESON MATTHIEU | France | Claimant(s) | Active,,Pending,Old535,22598/JPA,Spanish,"Closed, May 2020",,,,TOMASI THIERRY | France; Italy | Co-arbitrators | Replaced
0,Jul-17,FERNANDEZ TRINDADE MARCELO | Brazil | Respondent(s) | Active,FAORO ANDRÉ LEAL | Brazil | Co-arbitrators | Active,NUNES PINTO JOSÉ EMILIO | Brazil | Claimant(s) | Active,,Closed,Old331,21564/JPA,Spanish,,,,,BARBOSA MARCELO | Brazil | Co-arbitrators | Replaced
0,Apr-18,HUNT CONSTANCE DARLENE | Canada | Parties | Active,MCMAHON TERRENCE | Canada | Claimant(s) | Active,O'BRIEN CLIFTON DAVID | Canada | Respondent(s) | Active,,Closed,Old702,22320/MK,US,,,,,MILLS DOUGLAS GRANT | Canada | Co-arbitrators | Replaced
