Numéro,titre,type,Date,statut,VISA
0,2022-1029,Clause statutaire d'exclusion d'un associé d'une société par actions simplifiée,09 décembre 2022,Conformité,la Constitution
1,2022-1029,Clause statutaire d'exclusion d'un associé d'une société par actions simplifiée,09 décembre 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
2,2022-1029,Clause statutaire d'exclusion d'un associé d'une société par actions simplifiée,09 décembre 2022,Conformité,le code civil
3,2022-1029,Clause statutaire d'exclusion d'un associé d'une société par actions simplifiée,09 décembre 2022,Conformité,le code de commerce
4,2022-1029,Clause statutaire d'exclusion d'un associé d'une société par actions simplifiée,09 décembre 2022,Conformité,l'ordonnance n° 2000-912 du 18 septembre 2000 relative à la partie législative du code de commerce
6,2022-1029,Clause statutaire d'exclusion d'un associé d'une société par actions simplifiée,09 décembre 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
7,2022-1027/1028,Dispositif de non-concurrence applicable à certains praticiens exerçant dans un établissement public de santé,09 décembre 2022,Conformité,la Constitution
8,2022-1027/1028,Dispositif de non-concurrence applicable à certains praticiens exerçant dans un établissement public de santé,09 décembre 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
9,2022-1027/1028,Dispositif de non-concurrence applicable à certains praticiens exerçant dans un établissement public de santé,09 décembre 2022,Conformité,le code de la santé publique
10,2022-1027/1028,Dispositif de non-concurrence applicable à certains praticiens exerçant dans un établissement public de santé,09 décembre 2022,Conformité,l'ordonnance n° 2021-292 du 17 mars 2021 visant à favoriser l'attractivité des carrières médicales hospitalières
11,2022-1027/1028,Dispositif de non-concurrence applicable à certains praticiens exerçant dans un établissement public de santé,09 décembre 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
18,2022-1021,Requête en nullité d'un acte d'investigation déposée par un journaliste n'ayant ni la qualité de partie à la procédure ni celle de témoin assisté,28 octobre 2022,Conformité,la Constitution
19,2022-1021,Requête en nullité d'un acte d'investigation déposée par un journaliste n'ayant ni la qualité de partie à la procédure ni celle de témoin assisté,28 octobre 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
20,2022-1021,Requête en nullité d'un acte d'investigation déposée par un journaliste n'ayant ni la qualité de partie à la procédure ni celle de témoin assisté,28 octobre 2022,Conformité,le code de procédure pénale
21,2022-1021,Requête en nullité d'un acte d'investigation déposée par un journaliste n'ayant ni la qualité de partie à la procédure ni celle de témoin assisté,28 octobre 2022,Conformité,la loi du 29 juillet 1881 sur la liberté de la presse
22,2022-1021,Requête en nullité d'un acte d'investigation déposée par un journaliste n'ayant ni la qualité de partie à la procédure ni celle de témoin assisté,28 octobre 2022,Conformité,la loi n° 93-1013 du 24 août 1993 modifiant la loi n° 93-2 du 4 janvier 1993 portant réforme de la procédure pénale
