Departement,Fromage,page_francaise,english_page,Lait
Allier,Charolais,http://fr.wikipedia.org/wiki/Charolais_%28fromage%29,,Chèvre
Lot,Bleu du Quercy,http://fr.wikipedia.org/wiki/Bleu_du_Quercy,,Vache
Réunion,Cap Noir,http://fr.wikipedia.org/wiki/Cap_Noir_%28fromage%29,,Vache
Savoie,Persillé des Aravis,http://fr.wikipedia.org/wiki/Persill%C3%A9_des_Aravis,,Chèvre
Saône-et-Loire,Bouton de Culotte,http://fr.wikipedia.org/wiki/Bouton_de_Culotte,,Chèvre
Yonne,Brie de Melun,http://fr.wikipedia.org/wiki/Brie_de_Melun,,Vache
Tarn,Pérail,http://fr.wikipedia.org/wiki/P%C3%A9rail,http://en.wikipedia.org/wiki/Perail,Brebis
Seine-Maritime,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,http://en.wikipedia.org/wiki/Pont-l%27%C3%89v%C3%AAque_cheese,Vache
Morbihan,Trappiste de Campénéac,http://fr.wikipedia.org/wiki/Trappiste_de_Camp%C3%A9n%C3%A9ac,,Vache
Ain,Comté,http://fr.wikipedia.org/wiki/Comt%C3%A9_%28fromage%29,http://en.wikipedia.org/wiki/Comt%C3%A9_cheese,Vache
Corrèze,Pavé corrézien,http://fr.wikipedia.org/wiki/Pav%C3%A9_corr%C3%A9zien,,Vache
Jura,Bleu de Gex,http://fr.wikipedia.org/wiki/Bleu_de_Gex,http://en.wikipedia.org/wiki/Bleu_de_Gex,Vache
Savoie,Tome des Bauges,http://fr.wikipedia.org/wiki/Tome_des_Bauges,,Vache
Savoie,Abbaye de Tamié,http://fr.wikipedia.org/wiki/Abbaye_de_Tami%C3%A9_%28fromage%29,http://en.wikipedia.org/wiki/Abbaye_de_Tami%C3%A9,Vache
Tarn,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,http://en.wikipedia.org/wiki/P%C3%A9lardon,Chèvre
Aveyron,Roquefort,http://fr.wikipedia.org/wiki/Roquefort_%28fromage%29,http://en.wikipedia.org/wiki/Roquefort,Brebis
Bas-Rhin,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,http://en.wikipedia.org/wiki/Munster_cheese,Vache
Meurthe-et-Moselle,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,http://en.wikipedia.org/wiki/Munster_cheese,Vache
Ain,Clon,http://fr.wikipedia.org/wiki/Clon,,Vache
Ardèche,Chèvreton,http://fr.wikipedia.org/wiki/Ch%C3%A8vreton,,Chèvre
Cantal,Carré d'Aurillac,http://fr.wikipedia.org/wiki/Carr%C3%A9_d%27Aurillac,http://en.wikipedia.org/wiki/Carr%C3%A9_d%27Aurillac,Vache
Côte-d'Or,Affidélice,http://fr.wikipedia.org/wiki/Affid%C3%A9lice,,Vache
Indre,Pouligny-saint-pierre,http://fr.wikipedia.org/wiki/Pouligny-saint-pierre_%28fromage%29,http://en.wikipedia.org/wiki/Pouligny-Saint-Pierre_cheese,Chèvre
Indre-et-Loire,Couronne Lochoise,http://fr.wikipedia.org/wiki/Couronne_Lochoise,http://en.wikipedia.org/wiki/Couronne_lochoise,Chèvre
Morbihan,Abbaye de la Joie Notre-Dame,http://fr.wikipedia.org/wiki/Abbaye_de_la_Joie_Notre-Dame_%28fromage%29,,Vache
Oise,Tomme au foin,http://fr.wikipedia.org/wiki/Tomme_au_foin,,Vache
Puy-de-Dôme,Le Lavort,http://fr.wikipedia.org/wiki/Le_Lavort,,Brebis
Réunion,Takamaka,http://fr.wikipedia.org/wiki/Takamaka_%28fromage%29,,Chèvre
Savoie,Avalin,http://fr.wikipedia.org/wiki/Avalin,,Vache
Haute-Marne,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,http://en.wikipedia.org/wiki/Brie_de_Meaux,Vache
Drôme,Foudjou,http://fr.wikipedia.org/wiki/Foudjou,,Chèvre
Rhône,Arôme de Lyon,http://fr.wikipedia.org/wiki/Ar%C3%B4me_de_Lyon,,Vache
Aveyron,Pérail,http://fr.wikipedia.org/wiki/P%C3%A9rail,http://en.wikipedia.org/wiki/Perail,Brebis
Haute-Loire,Rochebaron,http://fr.wikipedia.org/wiki/Rochebaron,http://en.wikipedia.org/wiki/Rochebaron,Vache
Charente-Maritime,Jonchée,http://fr.wikipedia.org/wiki/Jonch%C3%A9e_%28fromage%29,,Vache
Charente-Maritime,Tricorne de Marans,http://fr.wikipedia.org/wiki/Tricorne_de_Marans,,Brebis
Côte-d'Or,L'Ami du Chambertin,http://fr.wikipedia.org/wiki/L%27Ami_du_Chambertin,,Vache
Eure,Le Pavé du Plessis,http://fr.wikipedia.org/wiki/Le_Pav%C3%A9_du_Plessis,,Vache
Isère,Bleu de Lavaldens,http://fr.wikipedia.org/wiki/Bleu_de_Lavaldens,,Vache
